Nom1;Nom2;Year;#Citations;Publication_ID;#TETIS;#Exterieur
begue;gaetano;2020;19;0;2;4
ienco;baghdadi;2022;0;1;3;5
ienco;gaetano;2022;0;1;3;5
baghdadi;gaetano;2022;0;1;3;5
ienco;gaetano;2019;0;2;4;3
ienco;interdonato;2019;0;2;4;3
ienco;dupuy;2019;0;2;4;3
gaetano;interdonato;2019;0;2;4;3
gaetano;dupuy;2019;0;2;4;3
interdonato;dupuy;2019;0;2;4;3
gaetano;zzext;2017;16;3;1;4
ienco;baghdadi;2023;0;4;3;4
ienco;gaetano;2023;0;4;3;4
baghdadi;gaetano;2023;0;4;3;4
ienco;baghdadi;2023;4;5;3;2
ienco;gaetano;2023;4;5;3;2
baghdadi;gaetano;2023;4;5;3;2
ienco;ose;2018;70;6;4;0
ienco;gaetano;2018;70;6;4;0
ienco;cresson;2018;70;6;4;0
ose;gaetano;2018;70;6;4;0
ose;cresson;2018;70;6;4;0
gaetano;cresson;2018;70;6;4;0
begue;gaetano;2021;23;7;2;6
begue;gaetano;2018;52;8;2;3
begue;gaetano;2022;10;9;2;6
gaetano;zzext;2018;149;10;1;3
minh;ienco;2017;22;11;4;3
minh;maurel;2017;22;11;4;3
minh;gaetano;2017;22;11;4;3
ienco;maurel;2017;22;11;4;3
ienco;gaetano;2017;22;11;4;3
maurel;gaetano;2017;22;11;4;3
ienco;gaetano;2019;2;12;3;0
ienco;interdonato;2019;2;12;3;0
gaetano;interdonato;2019;2;12;3;0
seen;roche;2020;4;13;4;1
seen;gaetano;2020;4;13;4;1
seen;interdonato;2020;4;13;4;1
roche;gaetano;2020;4;13;4;1
roche;interdonato;2020;4;56;4;2
gaetano;interdonato;2020;4;13;4;1
ienco;gaetano;2021;17;14;3;3
ienco;interdonato;2021;17;14;3;3
gaetano;interdonato;2021;17;14;3;3
gaetano;cresson;2022;7;15;2;5
minh;ienco;2019;245;16;4;0
minh;gaetano;2019;245;16;4;0
minh;interdonato;2019;245;16;4;0
ienco;gaetano;2019;245;16;4;0
ienco;interdonato;2019;245;16;4;0
gaetano;interdonato;2019;245;16;4;0
ienco;baghdadi;2021;29;17;3;5
ienco;gaetano;2021;29;17;3;5
baghdadi;gaetano;2021;29;17;3;5
gaetano;zzext;2018;28;18;1;3
ienco;gaetano;2020;2;19;3;1
ienco;interdonato;2020;2;57;2;3
gaetano;interdonato;2020;2;19;3;1
ienco;gaetano;2020;30;20;3;3
ienco;interdonato;2020;30;20;3;3
gaetano;interdonato;2020;30;20;3;3
gaetano;zzext;2020;9;21;1;4
ienco;ose;2018;111;22;4;2
ienco;gaetano;2018;111;22;4;2
ienco;dupuy;2018;111;22;4;2
ose;gaetano;2018;111;22;4;2
ose;dupuy;2018;111;22;4;2
gaetano;dupuy;2018;111;22;4;2
ienco;ose;2018;10;23;4;0
ienco;gaetano;2018;10;23;4;0
ienco;cresson;2018;10;23;4;0
ose;gaetano;2018;10;23;4;0
ose;cresson;2018;10;23;4;0
gaetano;cresson;2018;10;23;4;0
gaetano;zzext;2019;47;24;1;4
minh;ienco;2019;24;25;5;0
minh;ose;2019;24;25;5;0
minh;gaetano;2019;24;25;5;0
minh;interdonato;2019;24;25;5;0
ienco;ose;2019;24;25;5;0
ienco;gaetano;2019;24;25;5;0
ienco;interdonato;2019;24;25;5;0
ose;gaetano;2019;24;25;5;0
ose;interdonato;2019;24;25;5;0
gaetano;interdonato;2019;24;25;5;0
ienco;ose;2019;141;26;4;0
ienco;gaetano;2019;141;26;4;0
ienco;interdonato;2019;141;26;4;0
ose;gaetano;2019;141;26;4;0
ose;interdonato;2019;141;26;4;0
gaetano;interdonato;2019;141;26;4;0
minh;ienco;2019;19;27;5;0
minh;ose;2019;19;27;5;0
minh;gaetano;2019;19;27;5;0
minh;cresson;2019;19;27;5;0
ienco;ose;2019;19;27;5;0
ienco;gaetano;2019;19;27;5;0
ienco;cresson;2019;19;27;5;0
ose;gaetano;2019;19;27;5;0
ose;cresson;2019;19;27;5;0
gaetano;cresson;2019;19;27;5;0
begue;gaetano;2023;0;28;2;2
ienco;maurel;2017;272;29;3;1
ienco;gaetano;2017;272;29;3;1
maurel;gaetano;2017;272;29;3;1
gaetano;zzext;2018;30;30;1;4
gaetano;zzext;2019;1;31;1;3
begue;tran;2021;16;32;9;20
begue;jolivot;2021;16;32;9;20
begue;jahel;2021;16;32;9;20
begue;seen;2021;16;32;9;20
begue;castets;2021;16;32;9;20
begue;gaetano;2021;16;32;9;20
begue;dupuy;2021;16;32;9;20
begue;lebourgeois;2021;16;32;9;20
tran;jolivot;2021;16;32;9;20
tran;jahel;2021;16;32;9;20
tran;seen;2021;16;32;9;20
tran;castets;2021;16;32;9;20
tran;gaetano;2021;16;32;9;20
tran;dupuy;2021;16;32;9;20
tran;lebourgeois;2021;16;32;9;20
jolivot;jahel;2021;16;32;9;20
jolivot;seen;2021;16;32;9;20
jolivot;castets;2021;16;32;9;20
jolivot;gaetano;2021;16;32;9;20
jolivot;dupuy;2021;16;32;9;20
jolivot;lebourgeois;2021;16;32;9;20
jahel;seen;2021;16;32;9;20
jahel;castets;2021;16;32;9;20
jahel;gaetano;2021;16;32;9;20
jahel;dupuy;2021;16;32;9;20
jahel;lebourgeois;2021;16;32;9;20
seen;castets;2021;16;32;9;20
seen;gaetano;2021;16;32;9;20
seen;dupuy;2021;16;32;9;20
seen;lebourgeois;2021;16;32;9;20
castets;gaetano;2021;16;32;9;20
castets;dupuy;2021;16;32;9;20
castets;lebourgeois;2021;16;32;9;20
gaetano;dupuy;2021;16;32;9;20
gaetano;lebourgeois;2021;16;32;9;20
dupuy;lebourgeois;2021;16;32;9;20
ienco;gaetano;2021;15;33;3;2
ienco;dupuy;2021;15;33;3;2
gaetano;dupuy;2021;15;33;3;2
tonneau;burnod;2020;14;34;5;1
tonneau;gaetano;2020;14;34;5;1
tonneau;dupuy;2020;14;34;5;1
tonneau;lebourgeois;2020;14;34;5;1
burnod;gaetano;2020;14;34;5;1
burnod;dupuy;2020;14;34;5;1
burnod;lebourgeois;2020;14;34;5;1
gaetano;dupuy;2020;14;34;5;1
gaetano;lebourgeois;2020;14;34;5;1
dupuy;lebourgeois;2020;14;34;5;1
gaetano;dupuy;2020;1;35;2;0
gaetano;dupuy;2020;23;36;2;1
ienco;gaetano;2020;0;37;3;0
ienco;interdonato;2020;0;81;2;3
gaetano;interdonato;2020;0;37;3;0
ienco;baghdadi;2021;0;38;3;2
ienco;gaetano;2021;0;38;3;2
baghdadi;gaetano;2021;0;38;3;2
ienco;gaetano;2024;0;39;3;0
ienco;interdonato;2024;0;39;3;0
gaetano;interdonato;2024;0;39;3;0
ienco;gaetano;2020;3;40;3;1
ienco;interdonato;2020;3;40;3;1
gaetano;interdonato;2020;3;40;3;1
minh;ienco;2018;118;41;4;3
minh;maurel;2018;118;41;4;3
minh;gaetano;2018;118;41;4;3
ienco;maurel;2018;118;41;4;3
ienco;gaetano;2018;118;41;4;3
maurel;gaetano;2018;118;41;4;3
ienco;gaetano;2020;25;42;3;1
ienco;interdonato;2020;25;42;3;1
gaetano;interdonato;2020;25;42;3;1
interdonato;zzext;2018;0;84;1;3
teisseire;interdonato;2022;5;44;2;1
teisseire;roche;2022;0;549;2;2
teisseire;interdonato;2022;0;64;3;1
roche;interdonato;2022;0;64;3;1
interdonato;zzext;2019;2;46;1;2
ienco;interdonato;2020;49;47;2;0
begue;teisseire;2022;34;50;4;2
begue;roche;2022;34;50;4;2
begue;interdonato;2022;34;50;4;2
teisseire;roche;2022;34;50;4;2
teisseire;interdonato;2022;34;50;4;2
roche;interdonato;2022;34;50;4;2
teisseire;roche;2022;3;52;3;2
teisseire;interdonato;2022;3;52;3;2
roche;interdonato;2022;3;52;3;2
ienco;interdonato;2021;0;53;2;1
interdonato;zzext;2018;1;54;1;3
interdonato;zzext;2016;12;55;1;2
begue;teisseire;2020;4;56;4;2
begue;roche;2020;4;56;4;2
begue;interdonato;2020;4;56;4;2
teisseire;roche;2020;4;385;2;1
teisseire;interdonato;2020;4;56;4;2
interdonato;zzext;2017;1;58;1;2
interdonato;zzext;2017;2;60;1;3
jahel;bourgoin;2023;1;62;3;2
jahel;interdonato;2023;1;62;3;2
bourgoin;interdonato;2023;1;62;3;2
teisseire;roche;2023;2;63;4;7
teisseire;decoupes;2023;2;63;4;7
teisseire;interdonato;2023;2;63;4;7
roche;decoupes;2023;2;63;4;7
roche;interdonato;2023;2;63;4;7
decoupes;interdonato;2023;2;63;4;7
interdonato;zzext;2017;23;65;1;2
interdonato;zzext;2019;7;66;1;4
interdonato;zzext;2019;21;67;1;2
begue;teisseire;2022;2;68;4;3
begue;roche;2022;2;68;4;3
begue;interdonato;2022;2;68;4;3
