Nom1;Nom2;Year;#Citations;Publication_ID;#TETIS;#Exterieur
begue;gaetano;2020;19;0;2;4
baghdadi;gaetano;2022;0;1;3;5
baghdadi;ienco;2022;0;1;3;5
gaetano;ienco;2022;0;1;3;5
dupuy;gaetano;2019;0;2;4;3
dupuy;ienco;2019;0;2;4;3
dupuy;interdonato;2019;0;2;4;3
gaetano;ienco;2019;0;2;4;3
gaetano;interdonato;2019;0;2;4;3
ienco;interdonato;2019;0;2;4;3
gaetano;zzext;2017;16;3;1;4
baghdadi;gaetano;2023;0;4;3;4
baghdadi;ienco;2023;0;4;3;4
gaetano;ienco;2023;0;4;3;4
baghdadi;gaetano;2023;4;5;3;2
baghdadi;ienco;2023;4;5;3;2
gaetano;ienco;2023;4;5;3;2
cresson;gaetano;2018;70;6;4;0
cresson;ienco;2018;70;6;4;0
cresson;ose;2018;70;6;4;0
gaetano;ienco;2018;70;6;4;0
gaetano;ose;2018;70;6;4;0
ienco;ose;2018;70;6;4;0
begue;gaetano;2021;23;7;2;6
begue;gaetano;2018;52;8;2;3
begue;gaetano;2022;10;9;2;6
gaetano;zzext;2018;149;10;1;3
gaetano;ienco;2017;22;11;4;3
gaetano;maurel;2017;22;11;4;3
gaetano;minh;2017;22;11;4;3
ienco;maurel;2017;22;11;4;3
ienco;minh;2017;22;11;4;3
maurel;minh;2017;22;11;4;3
gaetano;ienco;2019;2;12;3;0
gaetano;interdonato;2019;2;12;3;0
ienco;interdonato;2019;2;12;3;0
gaetano;interdonato;2020;4;13;4;1
gaetano;roche;2020;4;13;4;1
gaetano;seen;2020;4;13;4;1
interdonato;roche;2020;4;13;4;1
interdonato;seen;2020;4;13;4;1
roche;seen;2020;4;13;4;1
gaetano;ienco;2021;17;14;3;3
gaetano;interdonato;2021;17;14;3;3
ienco;interdonato;2021;17;14;3;3
cresson;gaetano;2022;7;15;2;5
gaetano;ienco;2019;245;16;4;0
gaetano;interdonato;2019;245;16;4;0
gaetano;minh;2019;245;16;4;0
ienco;interdonato;2019;245;16;4;0
ienco;minh;2019;245;16;4;0
interdonato;minh;2019;245;16;4;0
baghdadi;gaetano;2021;29;17;3;5
baghdadi;ienco;2021;29;17;3;5
gaetano;ienco;2021;29;17;3;5
gaetano;zzext;2018;28;18;1;3
gaetano;ienco;2020;2;19;3;1
gaetano;interdonato;2020;2;19;3;1
ienco;interdonato;2020;2;19;3;1
gaetano;ienco;2020;30;20;3;3
gaetano;interdonato;2020;30;20;3;3
ienco;interdonato;2020;30;20;3;3
dupuy;gaetano;2018;111;22;4;2
dupuy;ienco;2018;111;22;4;2
dupuy;ose;2018;111;22;4;2
gaetano;ienco;2018;111;22;4;2
gaetano;ose;2018;111;22;4;2
ienco;ose;2018;111;22;4;2
cresson;gaetano;2018;10;23;4;0
cresson;ienco;2018;10;23;4;0
cresson;ose;2018;10;23;4;0
gaetano;ienco;2018;10;23;4;0
gaetano;ose;2018;10;23;4;0
ienco;ose;2018;10;23;4;0
gaetano;zzext;2019;47;24;1;4
gaetano;ienco;2019;24;25;5;0
gaetano;interdonato;2019;24;25;5;0
gaetano;minh;2019;24;25;5;0
gaetano;ose;2019;24;25;5;0
ienco;interdonato;2019;24;25;5;0
ienco;minh;2019;24;25;5;0
ienco;ose;2019;24;25;5;0
interdonato;minh;2019;24;25;5;0
interdonato;ose;2019;24;25;5;0
minh;ose;2019;24;25;5;0
gaetano;ienco;2019;141;26;4;0
gaetano;interdonato;2019;141;26;4;0
gaetano;ose;2019;141;26;4;0
ienco;interdonato;2019;141;26;4;0
ienco;ose;2019;141;26;4;0
interdonato;ose;2019;141;26;4;0
cresson;gaetano;2019;19;27;5;0
cresson;ienco;2019;19;27;5;0
cresson;minh;2019;19;27;5;0
cresson;ose;2019;19;27;5;0
gaetano;ienco;2019;19;27;5;0
gaetano;minh;2019;19;27;5;0
gaetano;ose;2019;19;27;5;0
ienco;minh;2019;19;27;5;0
ienco;ose;2019;19;27;5;0
minh;ose;2019;19;27;5;0
begue;gaetano;2023;0;28;2;2
gaetano;ienco;2017;272;29;3;1
gaetano;maurel;2017;272;29;3;1
ienco;maurel;2017;272;29;3;1
gaetano;zzext;2018;30;30;1;4
gaetano;zzext;2019;1;31;1;3
begue;castets;2021;16;32;9;20
begue;dupuy;2021;16;32;9;20
begue;gaetano;2021;16;32;9;20
begue;jahel;2021;16;32;9;20
begue;jolivot;2021;16;32;9;20
begue;lebourgeois;2021;16;32;9;20
begue;seen;2021;16;32;9;20
begue;tran;2021;16;32;9;20
castets;dupuy;2021;16;32;9;20
castets;gaetano;2021;16;32;9;20
castets;jahel;2021;16;32;9;20
castets;jolivot;2021;16;32;9;20
castets;lebourgeois;2021;16;32;9;20
castets;seen;2021;16;32;9;20
castets;tran;2021;16;32;9;20
dupuy;gaetano;2021;16;32;9;20
dupuy;jahel;2021;16;32;9;20
dupuy;jolivot;2021;16;32;9;20
dupuy;lebourgeois;2021;16;32;9;20
dupuy;seen;2021;16;32;9;20
dupuy;tran;2021;16;32;9;20
gaetano;jahel;2021;16;32;9;20
gaetano;jolivot;2021;16;32;9;20
gaetano;lebourgeois;2021;16;32;9;20
gaetano;seen;2021;16;32;9;20
gaetano;tran;2021;16;32;9;20
jahel;jolivot;2021;16;32;9;20
jahel;lebourgeois;2021;16;32;9;20
jahel;seen;2021;16;32;9;20
jahel;tran;2021;16;32;9;20
jolivot;lebourgeois;2021;16;32;9;20
jolivot;seen;2021;16;32;9;20
jolivot;tran;2021;16;32;9;20
lebourgeois;seen;2021;16;32;9;20
lebourgeois;tran;2021;16;32;9;20
seen;tran;2021;16;32;9;20
dupuy;gaetano;2021;15;33;3;2
dupuy;ienco;2021;15;33;3;2
gaetano;ienco;2021;15;33;3;2
burnod;dupuy;2020;14;34;5;1
burnod;gaetano;2020;14;34;5;1
burnod;lebourgeois;2020;14;34;5;1
burnod;tonneau;2020;14;34;5;1
dupuy;gaetano;2020;14;34;5;1
dupuy;lebourgeois;2020;14;34;5;1
dupuy;tonneau;2020;14;34;5;1
gaetano;lebourgeois;2020;14;34;5;1
gaetano;tonneau;2020;14;34;5;1
lebourgeois;tonneau;2020;14;34;5;1
dupuy;gaetano;2020;1;35;2;0
dupuy;gaetano;2020;23;36;2;1
gaetano;ienco;2020;0;37;3;0
gaetano;interdonato;2020;0;37;3;0
ienco;interdonato;2020;0;37;3;0
baghdadi;gaetano;2021;0;38;3;2
baghdadi;ienco;2021;0;38;3;2
gaetano;ienco;2021;0;38;3;2
gaetano;ienco;2024;0;39;3;0
gaetano;interdonato;2024;0;39;3;0
ienco;interdonato;2024;0;39;3;0
gaetano;ienco;2020;3;40;3;1
gaetano;interdonato;2020;3;40;3;1
ienco;interdonato;2020;3;40;3;1
gaetano;ienco;2018;118;41;4;3
gaetano;maurel;2018;118;41;4;3
gaetano;minh;2018;118;41;4;3
ienco;maurel;2018;118;41;4;3
ienco;minh;2018;118;41;4;3
maurel;minh;2018;118;41;4;3
gaetano;ienco;2020;25;42;3;1
gaetano;interdonato;2020;25;42;3;1
ienco;interdonato;2020;25;42;3;1
interdonato;zzext;2018;0;43;1;3
interdonato;teisseire;2022;5;44;2;1
interdonato;roche;2022;0;45;3;1
interdonato;teisseire;2022;0;45;3;1
roche;teisseire;2022;0;45;3;1
interdonato;zzext;2019;2;46;1;2
ienco;interdonato;2020;49;47;2;0
interdonato;zzext;2018;0;48;1;3
interdonato;zzext;2018;0;49;1;3
begue;interdonato;2022;34;50;4;2
begue;roche;2022;34;50;4;2
begue;teisseire;2022;34;50;4;2
interdonato;roche;2022;34;50;4;2
interdonato;teisseire;2022;34;50;4;2
roche;teisseire;2022;34;50;4;2
interdonato;zzext;2018;0;51;1;3
interdonato;roche;2022;3;52;3;2
interdonato;teisseire;2022;3;52;3;2
roche;teisseire;2022;3;52;3;2
ienco;interdonato;2021;0;53;2;1
interdonato;zzext;2018;1;54;1;3
interdonato;zzext;2016;12;55;1;2
begue;interdonato;2020;4;56;4;2
begue;roche;2020;4;56;4;2
begue;teisseire;2020;4;56;4;2
interdonato;roche;2020;4;56;4;2
interdonato;teisseire;2020;4;56;4;2
roche;teisseire;2020;4;56;4;2
gaetano;ienco;2020;2;57;3;2
gaetano;interdonato;2020;2;57;3;2
ienco;interdonato;2020;2;57;3;2
interdonato;zzext;2017;1;58;1;2
interdonato;roche;2022;0;59;3;2
interdonato;teisseire;2022;0;59;3;2
roche;teisseire;2022;0;59;3;2
interdonato;zzext;2017;2;60;1;3
interdonato;zzext;2018;0;61;1;3
bourgoin;interdonato;2023;1;62;3;2
bourgoin;jahel;2023;1;62;3;2
interdonato;jahel;2023;1;62;3;2
decoupes;interdonato;2023;2;63;4;7
decoupes;roche;2023;2;63;4;7
decoupes;teisseire;2023;2;63;4;7
interdonato;roche;2023;2;63;4;7
interdonato;teisseire;2023;2;63;4;7
roche;teisseire;2023;2;63;4;7
interdonato;roche;2022;0;64;3;1
interdonato;teisseire;2022;0;64;3;1
roche;teisseire;2022;0;64;3;1
interdonato;zzext;2017;23;65;1;2
interdonato;zzext;2019;7;66;1;4
interdonato;zzext;2019;21;67;1;2
begue;interdonato;2022;2;68;4;3
begue;roche;2022;2;68;4;3
begue;teisseire;2022;2;68;4;3
interdonato;roche;2022;2;68;4;3
interdonato;teisseire;2022;2;68;4;3
roche;teisseire;2022;2;68;4;3
interdonato;zzext;2017;9;69;1;1
bourgoin;interdonato;2022;0;70;2;2
bourgoin;interdonato;2022;4;71;2;8
begue;interdonato;2023;0;72;4;2
begue;roche;2023;0;72;4;2
begue;teisseire;2023;0;72;4;2
interdonato;roche;2023;0;72;4;2
interdonato;teisseire;2023;0;72;4;2
roche;teisseire;2023;0;72;4;2
bourgoin;interdonato;2020;2;73;2;4
decoupes;interdonato;2024;1;74;5;2
decoupes;roche;2024;1;74;5;2
decoupes;teisseire;2024;1;74;5;2
decoupes;valentin;2024;1;74;5;2
interdonato;roche;2024;1;74;5;2
interdonato;teisseire;2024;1;74;5;2
interdonato;valentin;2024;1;74;5;2
roche;teisseire;2024;1;74;5;2
roche;valentin;2024;1;74;5;2
teisseire;valentin;2024;1;74;5;2
interdonato;zzext;2016;4;75;1;4
interdonato;zzext;2018;34;76;1;3
interdonato;zzext;2021;4;77;1;7
begue;interdonato;2023;1;78;3;7
begue;madec;2023;1;78;3;7
interdonato;madec;2023;1;78;3;7
interdonato;zzext;2021;1;79;1;5
interdonato;zzext;2016;15;80;1;1
gaetano;ienco;2020;0;81;3;2
gaetano;interdonato;2020;0;81;3;2
ienco;interdonato;2020;0;81;3;2
ienco;interdonato;2017;8;82;2;3
begue;interdonato;2021;1;83;3;2
begue;teisseire;2021;1;83;3;2
interdonato;teisseire;2021;1;83;3;2
interdonato;zzext;2018;0;84;1;3
interdonato;zzext;2021;9;85;1;3
ienco;interdonato;2022;0;86;2;0
ienco;interdonato;2023;2;87;2;0
interdonato;zzext;2018;6;88;1;2
interdonato;zzext;2018;5;89;1;2
bourgoin;interdonato;2020;13;90;2;4
interdonato;zzext;2019;0;91;1;12
interdonato;roche;2023;1;92;3;1
interdonato;teisseire;2023;1;92;3;1
roche;teisseire;2023;1;92;3;1
ienco;interdonato;2017;63;93;2;3
interdonato;zzext;2016;18;94;1;2
dantas;zzext;2019;5;95;1;1
dantas;zzext;2019;14;96;1;2
dantas;zzext;2019;6;97;1;2
dantas;zzext;2018;5;98;1;1
dantas;zzext;2022;21;99;1;19
dantas;zzext;2022;1;100;1;2
dantas;zzext;2023;1;101;1;2
dantas;zzext;2021;10;102;1;2
baghdadi;dantas;2023;1;103;3;5
baghdadi;ienco;2023;1;103;3;5
dantas;ienco;2023;1;103;3;5
dantas;zzext;2017;6;104;1;1
dantas;ienco;2023;0;105;3;1
dantas;marcos;2023;0;105;3;1
ienco;marcos;2023;0;105;3;1
dantas;zzext;2018;12;106;1;2
dantas;zzext;2017;33;107;1;2
dantas;ienco;2023;1;108;3;4
dantas;marcos;2023;1;108;3;4
ienco;marcos;2023;1;108;3;4
dantas;zzext;2016;11;109;1;2
dantas;zzext;2019;0;110;1;2
baghdadi;dantas;2024;0;111;3;3
baghdadi;ienco;2024;0;111;3;3
dantas;ienco;2024;0;111;3;3
dantas;zzext;2021;10;112;1;2
bonin;zzext;2018;0;113;1;3
bonin;zzext;2020;2;114;1;2
bonin;zzext;2017;0;115;1;3
bonin;cernesson;2016;0;116;2;3
bonin;zzext;2019;8;117;1;4
bonin;zzext;2018;0;118;1;4
bonin;zzext;2020;0;119;1;2
bonin;zzext;2017;1;120;1;3
bonin;zzext;2018;17;121;1;7
bonin;seen;2023;1;122;2;3
bonin;zzext;2018;0;123;1;7
bonin;zzext;2019;0;124;1;7
bonin;zzext;2018;13;125;1;7
dupuy;durrieu;2021;0;126;2;2
durrieu;zzext;2017;10;127;1;3
durrieu;zzext;2017;0;128;1;3
durrieu;zzext;2016;69;129;1;3
durrieu;zzext;2018;0;130;1;12
durrieu;feret;2016;0;131;2;10
alleaume;durrieu;2022;6;132;2;6
durrieu;zzext;2023;1;133;1;2
boissieu;durrieu;2019;0;134;3;2
boissieu;feret;2019;0;134;3;2
durrieu;feret;2019;0;134;3;2
alleaume;durrieu;2019;0;135;3;3
alleaume;larmanou;2019;0;135;3;3
durrieu;larmanou;2019;0;135;3;3
alleaume;durrieu;2020;7;136;3;4
alleaume;larmanou;2020;7;136;3;4
durrieu;larmanou;2020;7;136;3;4
durrieu;ienco;2023;1;137;2;3
durrieu;zzext;2017;2;138;1;4
durrieu;zzext;2023;12;139;1;10
durrieu;zzext;2021;0;140;1;4
durrieu;zzext;2016;1;141;1;11
durrieu;zzext;2017;1;142;1;11
durrieu;zzext;2023;1;143;1;3
boissieu;durrieu;2019;15;144;2;5
durrieu;zzext;2017;6;145;1;6
dupuy;durrieu;2016;1;146;2;7
durrieu;ienco;2022;8;147;2;4
boissieu;durrieu;2020;1;148;2;2
durrieu;zzext;2017;0;149;1;3
durrieu;zzext;2017;88;150;1;6
durrieu;zzext;2022;1;151;1;6
durrieu;zzext;2023;2;152;1;11
durrieu;zzext;2016;59;153;1;23
durrieu;zzext;2022;1;154;1;3
durrieu;zzext;2023;0;155;1;3
durrieu;zzext;2022;0;156;1;5
dupuy;durrieu;2018;33;157;2;2
alleaume;durrieu;2022;15;158;2;16
durrieu;zzext;2017;5;159;1;12
boissieu;durrieu;2019;0;160;3;11
boissieu;feret;2019;0;160;3;11
durrieu;feret;2019;0;160;3;11
boissieu;durrieu;2023;0;161;3;8
boissieu;feret;2023;0;161;3;8
durrieu;feret;2023;0;161;3;8
durrieu;zzext;2017;109;162;1;4
ienco;zzext;2021;9;163;1;3
baghdadi;zzext;2022;14;164;1;7
marcos;zzext;2016;38;165;1;2
baghdadi;minh;2019;17;166;2;5
alleaume;feret;2016;0;167;3;7
alleaume;luque;2016;0;167;3;7
feret;luque;2016;0;167;3;7
tran;zzext;2020;26;168;1;6
roche;zzext;2020;0;169;1;2
bonnal;bourgoin;2017;24;170;9;2
bonnal;cattan;2017;24;170;9;2
bonnal;chery;2017;24;170;9;2
bonnal;lemoisson;2017;24;170;9;2
bonnal;lestrelin;2017;24;170;9;2
bonnal;maurel;2017;24;170;9;2
bonnal;piraux;2017;24;170;9;2
bonnal;tonneau;2017;24;170;9;2
bourgoin;cattan;2017;24;170;9;2
bourgoin;chery;2017;24;170;9;2
bourgoin;lemoisson;2017;24;170;9;2
bourgoin;lestrelin;2017;24;170;9;2
bourgoin;maurel;2017;24;170;9;2
bourgoin;piraux;2017;24;170;9;2
bourgoin;tonneau;2017;24;170;9;2
cattan;chery;2017;24;170;9;2
cattan;lemoisson;2017;24;170;9;2
cattan;lestrelin;2017;24;170;9;2
cattan;maurel;2017;24;170;9;2
cattan;piraux;2017;24;170;9;2
cattan;tonneau;2017;24;170;9;2
chery;lemoisson;2017;24;170;9;2
chery;lestrelin;2017;24;170;9;2
chery;maurel;2017;24;170;9;2
chery;piraux;2017;24;170;9;2
chery;tonneau;2017;24;170;9;2
lemoisson;lestrelin;2017;24;170;9;2
lemoisson;maurel;2017;24;170;9;2
lemoisson;piraux;2017;24;170;9;2
lemoisson;tonneau;2017;24;170;9;2
lestrelin;maurel;2017;24;170;9;2
lestrelin;piraux;2017;24;170;9;2
lestrelin;tonneau;2017;24;170;9;2
maurel;piraux;2017;24;170;9;2
maurel;tonneau;2017;24;170;9;2
piraux;tonneau;2017;24;170;9;2
tardieu;zzext;2022;9;171;1;2
baghdadi;zzext;2022;0;172;1;5
baghdadi;zzext;2022;4;173;1;5
baghdadi;zzext;2020;0;174;1;3
alleaume;lenormand;2019;16;175;3;4
