Nom1;Nom2;Year;#Citations;Publication_ID;#TETIS;#Exterieur
cornu;zzext;2019;0;0;1;7
ienco;zzext;2022;0;1;1;4
ienco;zzext;2023;0;2;1;3
ienco;zzext;2024;0;3;1;3
berchoux;zzext;2023;0;4;1;8
alleaume;feret;2024;0;5;3;17
alleaume;jolivot;2024;0;5;3;17
feret;jolivot;2024;0;5;3;17
aguejdad;zzself;2024;0;6;1;0
aguejdad;zzself;2021;0;7;1;0
pasquet;zzext;2024;0;8;1;4
interdonato;zzext;2019;0;9;1;12
lavarenne;zzext;2023;0;10;1;10
feret;zzext;2021;0;11;1;20
guiffant;zzext;2023;0;12;1;2
ienco;zzext;2023;0;13;1;3
ienco;zzext;2024;0;14;1;3
burnod;dupuy;2024;0;15;2;2
roche;zzext;2019;0;16;1;7
interdonato;roche;2023;0;18;3;1
interdonato;teisseire;2023;0;18;3;1
roche;teisseire;2023;0;18;3;1
decoupes;interdonato;2023;0;19;4;7
decoupes;roche;2023;0;19;4;7
decoupes;teisseire;2023;0;19;4;7
interdonato;roche;2023;0;19;4;7
interdonato;teisseire;2023;0;19;4;7
roche;teisseire;2023;0;19;4;7
villar;zzext;2020;0;20;1;3
roche;zzext;2023;0;21;1;4
baghdadi;zzext;2021;0;22;1;5
baghdadi;zzext;2022;0;23;1;4
baghdadi;zzext;2024;0;24;1;5
baghdadi;zzext;2023;0;25;1;6
luque;zzext;2020;0;26;1;4
bourgoin;zzext;2019;0;27;1;3
babin;zzself;2019;0;28;1;0
feret;zzext;2023;0;29;1;3
baghdadi;zzext;2021;0;30;1;7
pasquet;zzext;2023;0;31;1;5
alleaume;zzext;2019;0;33;1;11
lenormand;zzext;2020;0;34;1;4
baghdadi;zzext;2021;0;37;1;6
baghdadi;zzext;2022;0;38;1;3
baghdadi;zzext;2019;0;39;1;3
baghdadi;zzext;2019;0;40;1;4
baghdadi;minh;2019;0;41;2;6
baghdadi;zzext;2020;0;42;1;5
baghdadi;zzext;2020;0;43;1;5
baghdadi;ienco;2019;0;44;2;6
baghdadi;zzext;2022;0;45;1;7
baghdadi;zzext;2024;0;46;1;6
baghdadi;zzext;2022;0;47;1;2
baghdadi;zzext;2024;0;48;1;23
baghdadi;ienco;2020;0;49;2;3
tardieu;zzext;2022;0;50;1;2
augusseau;begue;2020;0;51;3;5
augusseau;tonneau;2020;0;51;3;5
begue;tonneau;2020;0;51;3;5
begue;interdonato;2023;0;52;3;7
begue;madec;2023;0;52;3;7
interdonato;madec;2023;0;52;3;7
degenne;tran;2021;0;53;2;5
berchoux;zzext;2023;0;54;1;8
berchoux;zzext;2019;0;55;1;1
berchoux;zzext;2020;0;56;1;4
berchoux;zzext;2019;0;57;1;3
feret;zzext;2020;0;58;1;6
feret;zzext;2020;0;59;1;8
durrieu;zzext;2024;0;60;1;3
lenormand;luque;2020;0;61;2;2
sautot;zzext;2021;0;62;1;7
tran;zzext;2023;0;64;1;2
